,Страна,Категория,"Взлетный вес, кг","Длительность полета, час","Практическая дальность, км","Практический потолок, м",Тип двигателя,"Размах крыльев, м",Статус,Производитель,"Полезная нагрузка, кг",Диапазон рабочих температур,"Макс. скорость, км/ч"
0,США,Самолетный тип,6500.0,30.0,14.5,16500.0,Газотурбинный,24.75,Снято с производства,Ryan Aeronautical Company,3950.0,н/д,660.0
1,Израиль,Самолетный тип,4650.0,,7400.0,14000.0,Газотурбинный,26.0,В производстве,IAI,1000.0,н/д,375.0
2,США,Самолетный тип,4990.0,,4830.0,29000.0,Газотурбинный,5.87,Снято с производства,Lockheed,,н/д,3900.0
3,СССР,Самолетный тип,5370.0,,1000.0,6000.0,Газотурбинный,3.88,Снято с производства,ОКБ Туполева,,н/д,1110.0
4,Италия,Самолетный тип,5460.0,,600.0,,ДВС,8.2,Снято с производства,Aeronautica Lombarda,,н/д,360.0
5,Германия,Коптерный тип,1.2,0.47,,,Электрический,,В производстве,Holger Buss,1.0,н/д,
6,США,Самолетный тип,3630.0,,2400.0,13200.0,Газотурбинный,10.3,Снято с производства,Boeing,2041.0,н/д,920.0
7,Франция,Самолетный тип,6000.0,,,14000.0,Газотурбинный,12.5,В разработке,Dassault Aviation,1500.0,н/д,850.0
8,Германия,Вертолетный тип,75.0,2.0,120.0,3100.0,Газотурбинный,,В производстве,EMT,30.0,н/д,110.0
9,США,Самолетный тип,5897.0,24.0,14.5,16500.0,Газотурбинный,27.0,Снято с производства,Boeing,,н/д,625.0
10,СССР,Самолетный тип,7300.0,0.47,,16500.0,Газотурбинный,9.0,Снято с производства,МиГ,,н/д,1200.0
11,СССР,Самолетный тип,8400.0,1.77,,14400.0,Газотурбинный,7.15,Снято с производства,Завод №918,,н/д,1800.0
12,Великобритания,Самолетный тип,8664.0,,1540.0,13100.0,Газотурбинный,11.33,Снято с производства,Gloster,,н/д,962.0
13,Россия,Самолетный тип,10000.0,6.0,,16000.0,Газотурбинный,,В разработке,ОКБ Яковлева,1200.0,н/д,1100.0
14,Россия,Самолетный тип,10000.0,,4000.0,12000.0,Газотурбинный,11.5,В разработке,МиГ,6000.0,н/д,800.0
15,Германия,Вертолетный тип,75.0,2.0,120.0,3100.0,Газотурбинный,,В производстве,EMT,30.0,н/д,110.0
16,Израиль,Самолетный тип,4650.0,,7400.0,14000.0,Газотурбинный,26.0,В производстве,IAI,1000.0,н/д,375.0
17,США,Самолетный тип,4990.0,,4830.0,29000.0,Газотурбинный,5.87,Снято с производства,Lockheed,,н/д,3900.0
18,СССР,Самолетный тип,5370.0,,1000.0,6000.0,Газотурбинный,3.88,Снято с производства,ОКБ Туполева,,н/д,1110.0
19,Италия,Самолетный тип,5460.0,,600.0,,ДВС,8.2,Снято с производства,Aeronautica Lombarda,,н/д,360.0
20,Германия,Коптерный тип,1.2,0.47,,,Электрический,,В производстве,Holger Buss,1.0,н/д,
21,США,Самолетный тип,3630.0,,2400.0,13200.0,Газотурбинный,10.3,Снято с производства,Boeing,2041.0,н/д,920.0
22,Франция,Самолетный тип,6000.0,,,14000.0,Газотурбинный,12.5,В разработке,Dassault Aviation,1500.0,н/д,850.0
23,США,Самолетный тип,6500.0,30.0,14.5,16500.0,Газотурбинный,24.75,Снято с производства,Ryan Aeronautical Company,3950.0,н/д,660.0
24,США,Самолетный тип,5897.0,24.0,14.5,16500.0,Газотурбинный,27.0,Снято с производства,Boeing,,н/д,625.0
25,СССР,Самолетный тип,7300.0,0.47,,16500.0,Газотурбинный,9.0,Снято с производства,МиГ,,н/д,1200.0
26,СССР,Самолетный тип,8400.0,1.77,,14400.0,Газотурбинный,7.15,Снято с производства,Завод №918,,н/д,1800.0
27,Великобритания,Самолетный тип,8664.0,,1540.0,13100.0,Газотурбинный,11.33,Снято с производства,Gloster,,н/д,962.0
28,Россия,Самолетный тип,10000.0,6.0,,16000.0,Газотурбинный,,В разработке,ОКБ Яковлева,1200.0,н/д,1100.0
29,Россия,Самолетный тип,10000.0,,4000.0,12000.0,Газотурбинный,11.5,В разработке,МиГ,6000.0,н/д,800.0
30,США,Самолетный тип,5897.0,24.0,14.5,16500.0,Газотурбинный,27.0,Снято с производства,Boeing,,н/д,625.0
31,США,Самолетный тип,6500.0,30.0,14.5,16500.0,Газотурбинный,24.75,Снято с производства,Ryan Aeronautical Company,3950.0,н/д,660.0
32,Франция,Самолетный тип,6000.0,,,14000.0,Газотурбинный,12.5,В разработке,Dassault Aviation,1500.0,н/д,850.0
33,США,Самолетный тип,3630.0,,2400.0,13200.0,Газотурбинный,10.3,Снято с производства,Boeing,2041.0,н/д,920.0
34,Германия,Коптерный тип,1.2,0.47,,,Электрический,,В производстве,Holger Buss,1.0,н/д,
