,Страна,Производитель,"Длительность полета, час","Практическая дальность, км","Полезная нагрузка, кг","Макс. скорость, км/ч","Практический потолок, м","Взлетный вес, кг","Размах крыльев, м","Длина, м"
0,Великобритания,Blue,6.0,50.0,,,,21.5,3.3,2.7
1,Израиль,Aeronautics,7.0,150.0,5.5,130.0,5486.0,30.0,4.4,
2,Канада,4Front,0.8,,10.0,83.0,,25.0,1.3,1.7
3,Италия,IDS,8.0,20.0,7.5,200.0,6000.0,17.0,2.8,1.3
4,Бельгия,Aircraft,10.0,4.0,,65.0,4500.0,10.5,2.2,
5,Тайвань,National,1.0,,,55.0,,5.5,1.9,1.3
6,Беларусия,AGAT,2.0,35.0,,100.0,3000.0,10.0,,
7,Испания,Airbus,10.0,200.0,100.0,200.0,6000.0,570.0,8.0,5.5
8,США,3D,0.4,0.8,0.4,89.0,122.0,1.8,,0.5
9,США,Prioria,1.0,15.0,,101.0,7620.0,1.6,0.75,0.7
10,США,Northrop,24.0,15814.0,1452.0,613.0,17221.0,14628.0,40.0,14.5
11,США,Northrop,32.0,22780.0,1360.0,629.0,18288.0,14628.0,40.0,14.5
12,США,Northrop,21.0,,227.0,222.0,5486.0,885.0,10.4,7.0
13,США,Northrop,12.0,2272.0,227.0,250.0,4877.0,2721.0,10.7,12.6
14,США,Northrop,18.0,,56.6,170.0,5181.0,159.0,4.3,2.0
15,США,Martin,10.0,643.0,2.0,120.0,3048.0,21.0,2.6,1.6
16,США,Martin,8.0,563.0,2.3,166.0,4572.0,35.0,4.3,2.0
17,США,Lockheed,8.0,,2.5,72.0,4572.0,10.0,3.7,
18,США,Lockheed,0.8,10.0,0.2,,152.0,1.8,0.8,0.8
19,США,L-3,7.0,100.0,,130.0,5486.0,28.0,4.2,1.9
20,США,L-3,1.0,56.0,1.4,157.0,,6.8,1.4,0.8
21,США,L-3,10.0,,35.0,167.0,,245.0,6.0,4.5
22,США,Kaman,12.0,1852.0,,185.0,,5443.0,14.7,15.8
23,США,Insitu,24.0,,3.4,148.0,5944.0,22.0,3.1,1.6
24,США,Insitu,16.0,,17.0,167.0,5791.0,61.0,4.9,2.5
25,США,General,25.0,,261.0,309.0,8839.0,1633.0,17.0,9.0
26,США,General,35.0,,147.0,222.0,7620.0,1157.0,17.0,8.0
27,США,General,27.0,1851.0,386.0,445.0,15240.0,4763.0,20.0,11.0
28,США,Boeing,96.0,,204.0,370.0,19812.0,4445.0,46.0,
29,США,Aurora,120.0,24140.0,1179.0,222.0,9144.0,5080.0,40.0,15.0
30,США,Aerovel,40.0,3400.0,1.5,158.0,7315.0,21.5,3.0,2.0
31,США,AeroVironment,0.6,5.0,,56.0,,2.5,0.9,
32,США,AeroVironment,0.8,5.0,,83.0,,1.3,1.0,0.8
33,США,AeroVironment,1.5,10.0,,81.0,4267.0,1.9,1.4,1.0
34,США,AeroVironment,3.0,15.0,,83.0,,6.3,2.8,1.4
35,США,AAI,9.0,125.0,43.0,200.0,5486.0,212.0,6.0,3.6
36,США,Raytheon,1.5,32.0,,157.0,6096.0,6.4,1.5,0.9
37,Великобритания,Warrior,,2081.0,94.0,185.0,,250.0,7.6,
38,Великобритания,BAE,20.0,,150.0,231.0,6100.0,450.0,12.0,5.0
39,Турция,Kale-Baykar,20.0,150.0,55.0,130.0,6858.0,630.0,12.0,6.5
40,Турция,Turkish,2.5,,,259.0,3658.0,85.0,3.8,2.7
41,Тайланд,Siam,12.0,,13.0,,2000.0,25.0,11.0,
42,Hong,Aeroland,16.0,750.0,40.0,140.0,5000.0,150.0,8.0,3.5
43,Швейцария,SenseFly,0.4,1.0,,43.0,,1.8,0.8,0.6
44,Швеция,CybAero,6.0,,55.0,110.0,3000.0,160.0,3.3,4.0
45,Испания,Wake,12.0,800.0,8.0,100.0,4000.0,20.0,3.0,1.2
46,Испания,Alpha,2.0,,2.0,70.0,3000.0,15.0,1.8,1.6
47,Юж. Корея,Korean,24.0,,,,,150.0,4.2,3.4
48,Юж. Корея,Korea,6.0,80.0,75.0,185.0,4500.0,300.0,6.4,4.7
49,Юж. Корея,Denel,16.0,250.0,100.0,222.0,5486.0,450.0,10.0,5.8
50,Сингапур,ST,6.0,70.0,10.0,148.0,4572.0,70.0,3.7,2.4
51,Сингапур,Oqualia,20.0,,10.0,130.0,,22.0,3.3,2.3
52,Россия,Irkut,1.25,15.0,0.5,90.0,3000.0,3.0,2.0,0.9
53,Россия,Zala,8.0,,50.0,220.0,5000.0,200.0,6.0,5.5
54,Румыния,INAV,,200.0,40.0,200.0,,150.0,,
55,Португалия,Tekever,2.0,20.0,1.0,80.0,,5.0,1.8,1.4
56,Пакистан,Global,7.0,250.0,50.0,150.0,5000.0,480.0,6.6,4.2
57,Пакистан,SATUMA,1.5,50.0,5.0,120.0,2134.0,40.0,3.6,2.9
