,Country,Company,Platform,Endurance,Range,Payload cap.,Max speed,Ceiling,Max takeoff weight,Width (wingspan or rotor),Length,Photo Credit
0,UK,Blue Bear Systems Research,RedKite,6.0,50.0,,,,21.5,3.3,2.7,Blue Bear Systems/YouTube
1,Israel,Aeronautics Defense,Orbiter 3,7.0,150.0,5.5,130.0,"5,486 m",30.0,4.4,,Aeronautics/YouTube
2,Canada,4Front Robotics,Navig8 Electric,0.8,,10.0,83.0,,25.0,1.3,1.7,UAE Drones for Good/YouTube
3,Italy,IDS,IA-17 Manta,8.0,20.0,7.5,200.0,"6,000 m",17.0,2.8,1.3,Ingegneria Dei Sistemi/YouTube
4,Belgium,Aircraft Traders Belgium,GuardianEye,10.0,4.0,,65.0,"4,500 m",10.5,2.2,,
5,Taiwan,National Chung-Shan Institute of Science and Technology,Cardinal II,1.0,,,55.0,,5.5,1.9,1.3,
6,Belarus,AGAT,Berkut 2E,2.0,35.0,,100.0,"3,000 m",10.0,,,
7,Spain,Airbus,Atlante,10.0,200.0,100.0,200.0,"6,000 m",570.0,8.0,5.5,GMV
8,USA,3D Robotics,Solo,0.4,0.8,0.4,89.0,122.0,1.8,,0.5,3D Robotics
9,USA,Prioria Robotics,Maveric,1.0,15.0,,101.0,"7,620 m",1.6,0.75,0.7,
10,USA,Northrop Grumman,Triton (MQ-4C),24.0,15814.0,1452.0,613.0,"17,221 m",14628.0,40.0,14.5,
11,USA,Northrop Grumman,Global Hawk (RQ-4),32.0,22780.0,1360.0,629.0,"18,288 m",14628.0,40.0,14.5,
12,USA,Northrop Grumman,Hunter,21.0,,227.0,222.0,"5,486 m",885.0,10.4,7.0,
13,USA,Northrop Grumman,Fire Scout (MQ-8C),12.0,2272.0,227.0,250.0,"4,877 m",2721.0,10.7,12.6,
14,USA,Northrop Grumman,Bat,18.0,,56.6,170.0,"5,181 m",159.0,4.3,2.0,
15,USA,Martin UAV,Super Bat DA-50,10.0,643.0,2.0,120.0,"3,048 m",21.0,2.6,1.6,Bathawk Recon/YouTube
16,USA,Martin UAV,V Bat,8.0,563.0,2.3,166.0,"4,572 m",35.0,4.3,2.0,Stephen Morris/YouTube
17,USA,Lockheed Martin,Stalker XE,8.0,,2.5,72.0,"4,572 m",10.0,3.7,,
18,USA,Lockheed Martin,Indago,0.8,10.0,0.2,,152.0,1.8,0.8,0.8,Lockheed Martin/YouTube
19,USA,L-3,Apex,7.0,100.0,,130.0,"5,486 m",28.0,4.2,1.9,
20,USA,L-3,Cutlass,1.0,56.0,1.4,157.0,,6.8,1.4,0.8,TilTuli/YouTube
21,USA,L-3,Viking 400,10.0,,35.0,167.0,,245.0,6.0,4.5,
22,USA,Kaman,K-Max,12.0,1852.0,,185.0,,5443.0,14.7,15.8,
23,USA,Insitu,ScanEagle,24.0,,3.4,148.0,"5,944 m",22.0,3.1,1.6,
24,USA,Insitu,Blackjack,16.0,,17.0,167.0,"5,791 m",61.0,4.9,2.5,
25,USA,General Atomics,Gray Eagle (MQ-1C),25.0,,261.0,309.0,"8,839 m",1633.0,17.0,9.0,
26,USA,General Atomics,Predator XP,35.0,,147.0,222.0,"7,620 m",1157.0,17.0,8.0,
27,USA,General Atomics,Reaper (MQ-9),27.0,1851.0,386.0,445.0,"15,240 m",4763.0,20.0,11.0,
28,USA,Boeing,Phantom Eye,96.0,,204.0,370.0,"19,812 m",4445.0,46.0,,Boeing/YouTube
29,USA,Aurora,Orion,120.0,24140.0,1179.0,222.0,"9,144 m",5080.0,40.0,15.0,theworacle/YouTube
30,USA,Aerovel,Flexrotor,40.0,3400.0,1.5,158.0,"7,315 m",21.5,3.0,2.0,Aerovel/YouTube
31,USA,AeroVironment,Shrike,0.6,5.0,,56.0,,2.5,0.9,,AeroVironment/YouTube
32,USA,AeroVironment,Wasp,0.8,5.0,,83.0,,1.3,1.0,0.8,
33,USA,AeroVironment,Raven,1.5,10.0,,81.0,"4,267 m",1.9,1.4,1.0,
34,USA,AeroVironment,Puma AE,3.0,15.0,,83.0,,6.3,2.8,1.4,
35,USA,AAI Corporation,Shadow V2,9.0,125.0,43.0,200.0,"5,486 m",212.0,6.0,3.6,
36,USA,Raytheon,Coyote,1.5,32.0,,157.0,"6,096 m",6.4,1.5,0.9,Raytheon
37,UK,Warrior (Aero-Marine),Gull 68,,2081.0,94.0,185.0,,250.0,7.6,,
38,UK,BAE Systems,Herti,20.0,,150.0,231.0,"6,100 m",450.0,12.0,5.0,
39,Turkey,Kale-Baykar,Bayraktar TB2,20.0,150.0,55.0,130.0,"6,858 m",630.0,12.0,6.5,
40,Turkey,Turkish Aerospace Industries,Gözcü,2.5,,,259.0,"3,658 m",85.0,3.8,2.7,
41,Thailand,Siam UAV Industries,Mercury-1,12.0,,13.0,,"2,000 m",25.0,11.0,,
42,Hong Kong,Aeroland UAV,AL-150,16.0,750.0,40.0,140.0,"5,000 m",150.0,8.0,3.5,
43,Switzerland,SenseFly,eXom,0.4,1.0,,43.0,,1.8,0.8,0.6,
44,Sweden,CybAero,Apid 60,6.0,,55.0,110.0,"3,000 m",160.0,3.3,4.0,CybAero/YouTube
45,Spain,Wake Engineering,Fulmar,12.0,800.0,8.0,100.0,"4,000 m",20.0,3.0,1.2,172Baton/YouTube
46,Spain,Alpha Unmanned Systems,Sniper,2.0,,2.0,70.0,"3,000 m",15.0,1.8,1.6,Alpha Unmanned Systems/YouTube
47,South Korea,Korean Air,KUS-FT,24.0,,,,,150.0,4.2,3.4,
48,South Korea,Korea Aerospace Industries,Tactical UAV,6.0,80.0,75.0,185.0,"4,500 m",300.0,6.4,4.7,
49,South Africa,Denel Dynamics,Seeker 400,16.0,250.0,100.0,222.0,"5,486 m",450.0,10.0,5.8,
50,Singapore,ST Aerospace,Skyblade IV,6.0,70.0,10.0,148.0,"4,572 m",70.0,3.7,2.4,cyberpioneertv/YouTube
51,Singapore,Oqualia,Nomad B,20.0,,10.0,130.0,,22.0,3.3,2.3,
52,Russia,Irkut,Irkut 3,1.25,15.0,0.5,90.0,"3,000 m",3.0,2.0,0.9,
53,Russia,Zala Aero Group,Zala 421-20,8.0,,50.0,220.0,"5,000 m",200.0,6.0,5.5,
54,Romania,INAV Aviation Institute,Sisuar,,200.0,40.0,200.0,,150.0,,,
55,Portugal,Tekever Autonomous Systems,AR4,2.0,20.0,1.0,80.0,,5.0,1.8,1.4,Tekever
56,Pakistan,Global Industrial & Defence Solutions,Shahpar,7.0,250.0,50.0,150.0,"5,000 m",480.0,6.6,4.2,
57,Pakistan,SATUMA,Mukhbar,1.5,50.0,5.0,120.0,"2,134 m",40.0,3.6,2.9,
58,Pakistan,SATUMA,Flamingo,8.0,200.0,35.0,130.0,"4,267 m",245.0,6.61,5.2,
59,New Zealand,Skycam UAV,Swamp Fox,0.8,,,100.0,,4.5,1.8,,
60,New Zealand,Hawkeye UAV,RQ-84Z Aerohawk,1.5,,,60.0,,5.5,2.6,,
61,Mexico,Hydra Technologies,Ehecatl,8.0,,9.0,167.0,"4,572 m",55.0,3.7,,
62,Mexico,Aerovantech,Beta 1-A,,,15.0,,,100.0,5.2,3.0, ELNORTE Videos
63,Malaysia,Composite Technology Research Malaysia,Intisar 300,1.5,15.0,2.0,70.0,"2,000 m",,1.8,0.4,
64,Malaysia,Composite Technology Research Malaysia,Intisar 100,1.0,2.0,5.0,80.0,244.0,13.0,1.5,1.3,
65,Malaysia,Composite Technology Research Malaysia,Aludra SR-08,1.0,15.0,,130.0,"4,000 m",2.0,0.8,0.4,
66,Malaysia,Composite Technology Research Malaysia,Aldura MKI,3.0,100.0,25.0,220.0,"3,657 m",200.0,6.0,4.5,
67,Japan,Yamaha Corporation,RMAX,1.0,0.4,28.0,72.0,120.0,94.0,3.1,2.8,
68,Japan,Fuji Imvac,E-7,15.0,1600.0,6.0,125.0,"2,500 m",15.0,5.6,3.2,
69,Italy,Selex ES,Asio-B,0.5,10.0,,29.0,"2,100 m",8.5,1.4,,
70,Italy,Selex ES,Falco EVO,18.0,200.0,100.0,220.0,"6,000 m",650.0,12.5,6.2,
71,Israel,Aeronautics Defense,Aerostar,12.0,250.0,50.0,200.0,"5,500 m",230.0,8.7,4.5,
72,Israel,Bluebird,SpyLite,4.0,80.0,,120.0,"9,100 m",10.0,2.8,1.4,
73,Israel,Bluebird,Thunder B,24.0,100.0,3.5,134.0,"4,870 m",28.0,4.0,1.9,
74,Israel,Sky Sapience,Hover Mast 100,,,6.0,,50.0,,1.8,,iHLS Israel Homeland Security iHLS/YouTube
75,Israel,Innocon,Falcon Eye,24.0,3500.0,150.0,260.0,"5,486 m",600.0,12.0,7.0,
76,Israel,Innocon,Micro Falcon LE,4.0,40.0,2.0,120.0,"4,572 m",10.0,2.0,,
77,Israel,Israel Aerospace Industries,Harpy,,500.0,32.0,185.0,,135.0,3.0,2.5,
78,Iran,Shahed Aviation Industries Research Center,Shahed 129,24.0,1700.0,,,"7,315 m",,,,IR Iran/YouTube
79,Iran,Ghods Aviation Industries,Mohajer 4,5.0,150.0,,180.0,"4,500 m",175.0,5.3,3.6,
80,Iran,Ghods Aviation Industries,Ababil 3,4.0,100.0,,200.0,"5,000 m",,5.0,3.5,
81,Indonesia,BPPT PUNA,Wulung,6.0,150.0,,128.0,"2,438 m",120.0,6.0,4.3,INDOCOPTER/YouTube
82,India,Speck Systems,Bird-Eye 650,2.0,20.0,1.2,120.0,"2,000 m",11.0,3.0,,Defense Update
83,India,Kadet Defence Systems,Vigilant,2.0,80.0,,140.0,"3,000 m",20.0,3.2,2.5,
84,India,Kadet Defence Systems,Fire Bee,1.0,10.0,1.0,,,7.0,2.4,,
