,Country,Company,Platform,Endurance,Range,Payload cap.,Max speed,Ceiling,Max takeoff weight,Width (wingspan or rotor),Length,Photo Credit
0,UK,Blue,RedKite,6,50,--,--,--,21.5,3.3,2.7,Blue
1,Israel,Aeronautics,Orbiter,7,150,5.5,130,"5,486",30,4.4,--,Aeronautics/YouTube
2,Canada,4Front,Navig8,.8,--,10,83,--,25,1.3,1.7,UAE
3,Italy,IDS,IA-17,8,20,7.5,200,"6,000",17,2.8,1.3,Ingegneria
4,Belgium,Aircraft,GuardianEye,10,4,--,65,"4,500",10.5,2.2,--,
5,Taiwan,National,Cardinal,1,--,--,55,--,5.5,1.9,1.3,
6,Belarus,AGAT,Berkut,2,35,--,100,"3,000",10,--,--,
7,Spain,Airbus,Atlante,10,200,100,200,"6,000",570,8,5.5,GMV
8,USA,3D,Solo,.4,.8,.4,89,122,1.8,--,.5,3D
9,USA,Prioria,Maveric,1,15,--,101,"7,620",1.6,.75,0.7,
10,USA,Northrop,Triton,24,15814,1452,613,"17,221",14628,40,14.5,
11,USA,Northrop,Global,32,22780,1360,629,"18,288",14628,40,14.5,
12,USA,Northrop,Hunter,21,--,227,222,"5,486",885,10.4,7,
13,USA,Northrop,Fire,12,2272,227,250,"4,877",2721,10.7,12.6,
14,USA,Northrop,Bat,18,--,56.6,170,"5,181",159,4.3,2,
15,USA,Martin,Super,10,643,2,120,"3,048",21,2.6,1.6,Bathawk
16,USA,Martin,V,8,563,2.3,166,"4,572",35,4.3,2,Stephen
17,USA,Lockheed,Stalker,8,--,2.5,72,"4,572",10,3.7,--,
18,USA,Lockheed,Indago,0.8,10,0.2,--,152,1.8,0.8,0.8,Lockheed
19,USA,L-3,Apex,7,100,--,130,"5,486",28,4.2,1.9,
20,USA,L-3,Cutlass,1,56,1.4,157,--,6.8,1.4,0.8,TilTuli/YouTube
21,USA,L-3,Viking,10,--,35,167,--,245,6,4.5,
22,USA,Kaman,K-Max,12,1852,--,185,--,5443,14.7,15.8,
23,USA,Insitu,ScanEagle,24,--,3.4,148,"5,944",22,3.1,1.6,
24,USA,Insitu,Blackjack,16,--,17,167,"5,791",61,4.9,2.5,
25,USA,General,Gray,25,--,261,309,"8,839",1633,17,9,
26,USA,General,Predator,35,--,147,222,"7,620",1157,17,8,
27,USA,General,Reaper,27,1851,386,445,"15,240",4763,20,11,
28,USA,Boeing,Phantom,96,--,204,370,"19,812",4445,46,--,Boeing/YouTube
29,USA,Aurora,Orion,120,24140,1179,222,"9,144",5080,40,15,theworacle/YouTube
30,USA,Aerovel,Flexrotor,40,3400,1.5,158,"7,315",21.5,3,2,Aerovel/YouTube
31,USA,AeroVironment,Shrike,0.6,5,--,56,--,2.5,.9,--,AeroVironment/YouTube
32,USA,AeroVironment,Wasp,0.8,5,--,83,--,1.3,1,.8,
33,USA,AeroVironment,Raven,1.5,10,--,81,"4,267",1.9,1.4,1,
34,USA,AeroVironment,Puma,3,15,--,83,--,6.3,2.8,1.4,
35,USA,AAI,Shadow,9,125,43,200,"5,486",212,6,3.6,
36,USA,Raytheon,Coyote,1.5,32,--,157,"6,096",6.4,1.5,0.9,Raytheon
37,UK,Warrior,Gull,--,2081,94,185,--,250,7.6,--,
38,UK,BAE,Herti,20,--,150,231,"6,100",450,12,5,
39,Turkey,Kale-Baykar,Bayraktar,20,150,55,130,"6,858",630,12,6.5,
40,Turkey,Turkish,Gözcü,2.5,--,--,259,"3,658",85,3.8,2.7,
41,Thailand,Siam,Mercury-1,12,--,13,--,"2,000",25,11,--,
42,Hong,Aeroland,AL-150,16,750,40,140,"5,000",150,8,3.5,
43,Switzerland,SenseFly,eXom,0.4,1,--,43,--,1.8,0.8,0.6,
44,Sweden,CybAero,Apid,6,--,55,110,"3,000",160,3.3,4,CybAero/YouTube
45,Spain,Wake,Fulmar,12,800,8,100,"4,000",20,3,1.2,172Baton/YouTube
46,Spain,Alpha,Sniper,2,--,2,70,"3,000",15,1.8,1.6,Alpha
47,South,Korean,KUS-FT,24,--,--,--,--,150,4.2,3.4,
48,South,Korea,Tactical,6,80,75,185,"4,500",300,6.4,4.7,
49,South,Denel,Seeker,16,250,100,222,"5,486",450,10,5.8,
50,Singapore,ST,Skyblade,6,70,10,148,"4,572",70,3.7,2.4,cyberpioneertv/YouTube
51,Singapore,Oqualia,Nomad,20,--,10,130,--,22,3.3,2.3,
52,Russia,Irkut,Irkut,1.25,15,0.5,90,"3,000",3,2,0.9,
53,Russia,Zala,Zala,8,--,50,220,"5,000",200,6,5.5,
54,Romania,INAV,Sisuar,--,200,40,200,--,150,--,--,
55,Portugal,Tekever,AR4,2,20,1,80,--,5,1.8,1.4,Tekever
56,Pakistan,Global,Shahpar,7,250,50,150,"5,000",480,6.6,4.2,
57,Pakistan,SATUMA,Mukhbar,1.5,50,5,120,"2,134",40,3.6,2.9,
58,Pakistan,SATUMA,Flamingo,8,200,35,130,"4,267",245,6.61,5.2,
59,New,Skycam,Swamp,0.8,--,--,100,--,4.5,1.8,--,
60,New,Hawkeye,RQ-84Z,1.5,--,--,60,--,5.5,2.6,--,
61,Mexico,Hydra,Ehecatl,8,--,9,167,"4,572",55,3.7,--,
62,Mexico,Aerovantech,Beta,--,--,15,--,--,100,5.2,3,ELNORTE
63,Malaysia,Composite,Intisar,1.5,15,2,70,"2,000",--,1.8,0.4,
64,Malaysia,Composite,Intisar,1,2,5,80,244,13,1.5,1.3,
65,Malaysia,Composite,Aludra,1,15,--,130,"4,000",2,0.8,0.4,
66,Malaysia,Composite,Aldura,3,100,25,220,"3,657",200,6,4.5,
67,Japan,Yamaha,RMAX,1,0.4,28,72,120,94,3.1,2.8,
68,Japan,Fuji,E-7,15,1600,6,125,"2,500",15,5.6,3.2,
69,Italy,Selex,Asio-B,0.5,10,--,29,"2,100",8.5,1.4,--,
70,Italy,Selex,Falco,18,200,100,220,"6,000",650,12.5,6.2,
71,Israel,Aeronautics,Aerostar,12,250,50,200,"5,500",230,8.7,4.5,
72,Israel,Bluebird,SpyLite,4,80,--,120,"9,100",10,2.8,1.4,
73,Israel,Bluebird,Thunder,24,100,3.5,134,"4,870",28,4,1.9,
74,Israel,Sky,Hover,--,--,6,--,50,--,1.8,--,iHLS
75,Israel,Innocon,Falcon,24,3500,150,260,"5,486",600,12,7,
76,Israel,Innocon,Micro,4,40,2,120,"4,572",10,2,--,
77,Israel,Israel,Harpy,--,500,32,185,--,135,3,2.5,
78,Iran,Shahed,Shahed,24,1700,--,--,"7,315",--,--,--,IR
79,Iran,Ghods,Mohajer,5,150,--,180,"4,500",175,5.3,3.6,
80,Iran,Ghods,Ababil,4,100,--,200,"5,000",--,5,3.5,
81,Indonesia,BPPT,Wulung,6,150,--,128,"2,438",120,6,4.3,INDOCOPTER/YouTube
82,India,Speck,Bird-Eye,2,20,1.2,120,"2,000",11,3,--,Defense
83,India,Kadet,Vigilant,2,80,--,140,"3,000",20,3.2,2.5,
84,India,Kadet,Fire,1,10,1,--,--,7,2.4,--,
85,India,Defence,Nishant,4.5,160,45,185,"3,600",275,6.6,4.6,IDP
86,India,Aurora,Altius,10,350,20,160,"3,675",80,5.5,3.2,
87,Hungary,BHE,BXAP15,1.8,15,3,100,"4,000",17,3.7,1.7,gondolaportal/YouTube
88,Greece,BSK,Phaethon,1,100,--,460,"6,096",23,2.2,2.2,
89,Germany,Reiner,Q01,50,8334,600,333,"9,144",2750,20,10.7,
90,Germany,Cassidian,Rheinmetall,5.5,140,35,220,"4,000",161,3.4,2.3,
91,UK,Airbus,Zephyr,336,--,10,--,"21,562",100,23,--,AIRetCOSMOS/YouTube
92,France,Airbus,Harfang,24,--,250,204,"7,620",1250,16.6,9.3,
93,France,Airbus,Tanan,12,180,80,150,"4,000",350,6.3,5.2,
94,France,Sagem,Sperwer,6,200,50,166,"4,572",--,4.2,3.5,
95,France,Sagem,Patroller,20,180,250,200,"6,000",660,18,8.5,
96,France,Thales,Watchkeeper,16,200,150,175,"4,876",450,10.5,6,
97,France,Parrot,AR.Drone,0.2,--,--,40,100,0.4,0.5,0.5,
98,France,Delta,Delta,0.75,--,--,50,--,2,1.5,--,Delta
99,France,Survey,DVF,2,50,1,97,"2,500",11,3,1.2,
100,France,Survey,Copter,2.5,40,8.5,54,"2,500",30,2.2,2,
101,France,Lehmann,LA500,.75,3,0.4,80,"3,500",1.3,1.16,--,
102,Finland,Patria,MASS,1.25,20,0.5,120,150,3.5,1.5,1.1,
103,Estonia,Threod,Theia,24,120,25,150,"5,000",75,4.2,--,Therod
104,Czech,Hacker,HAES,1,10,--,90,300,--,2.4,--,
105,Croatia,Soko,B-3,--,150,20,180,"4,500",--,--,--,
106,China,Yuneec,Typhoon,0.4,--,.3,70,--,1.95,0.5,0.5,MW
107,China,Yuneec,Typhoon,0.4,--,--,--,122,1.1,0.4,0.4,
108,China,Zhuhai,Clairvoyance,2,--,10,140,"4,500",40.5,3.9,2.3,
109,China,DJI,Inspire,0.3,--,--,65,"4,500",3.5,0.4,.4,
110,China,DJI,Phantom,0.4,--,--,58,"6,000",1.2,--,--,
111,China,Hubei,EWG-2,2,200,3,110,"3,000",15,1.6,2.24,
112,China,Xi'an,ASN-209,10,200,50,180,"5,000",320,7.5,4.3,
113,China,Xi'an,ASN-206,8,150,50,210,"6,000",222,6,3.8,Henri
114,China,China,CH-4,38,3500,345,180,"8,000",1330,18,8.5,defenseupdate
115,China,Harbin,BZK-005,40,--,150,180,"8,000",1250,--,--,
116,China,Chengdu,Wing,20,--,480,370,"9,000",4200,20.5,11,
117,Chile,R.M.S.S.A.,Trauco,0.8,110,20,360,"8,200",210,4,3.9,
118,Chile,R.M.S.S.A.,Petrel,1,110,31,796,"12,000",183,1.7,3.6,
119,Chile,R.M.S.S.A,Mantarraya,4,100,15,240,"3,000",60,2.5,1.4,patomccoll/YouTube
120,Chile,Idetec,Stardust,2,20,1,65,"5,000",4.5,--,--,
121,Canada,DraganFly,Guardian,--,--,0.4,50,"2,438",1.3,0.5,0.5,Roswell
122,Canada,Aeryon,SkyRanger,0.8,10,--,65,450,2.4,1,1,
123,Canada,MMIST,Snowgoose,15,800,260,61,"5,486",600,1,2.9,
124,Brazil,GyroFly,500,0.5,2,1,54,"1,000",--,--,--,
125,Brazil,AeroFoundry,Linea,--,210,4,--,"2,000",14,2.1,--,
126,Belgium,Trimble,UX5,0.5,52,--,140,"5,000",2.9,1,--,Monsen
127,Argentina,Lipan,M3,5,40,--,180,"1,800",60,4.6,--,
128,Argentina,Nostromo,Yarara,6,30,9,163,"3,000",15.6,4,2.5,
129,Argentina,Nostromo,Cabure,1.5,15,--,105,"4,000",5,2.2,1.2,
130,Argentina,Aerodreams,Chi-7,10,--,230,190,"4,500",450,6,7.2,
131,Argentina,Aerodreams,UAV,15,--,18,160,"4,000",48,3.6,--,
132,Israel,Israel,Searcher,18,250,120,204,"7,010",450,8.6,--,
133,Israel,Israel,Panther,4,60,10,--,914,65,8,--,
134,Norway,Prox,Black,0.45,1.6,--,18,--,1.3,.12,.2,
135,Poland,FlyTronic,FlyEye,3,200,4,120,"4,000",11,3.6,1.9,WB
136,Netherlands,High,HEF,4.5,50,5,130,"6,000",21,1.8,1.76,
137,Australia,Aerosonde,AAI,14,140,9,148,"4,500",36,3.6,2,
138,Germany,EMT,Luna,8,100,--,70,"5,000",40,4.2,2.4,
139,Latvia,UAV,Penguin,20,100,--,115,"4,500",23,3.3,2.3,UAVFACTORY/YouTube
140,Israel,Israel,Super,45,1000,450,278,"9,144",1450,17,--,
141,Israel,Israel,Ghost,0.6,--,--,65,--,4.8,0.8,1.5,
142,Germany,Aibotix,Aibot,0.4,--,2,40,"1,000",6.6,1.1,1.1,
143,Russia,Zala,Zala,1.4,25,0.3,130,"3,600",2.5,0.8,0.4,
144,Russia,Orlan,Orlan,8,500,15,180,"5,000",50,3.8,2.4,
145,Slovenia,C-Astral,Bramor,3,40,--,108,"5,000",4.5,2.3,1,AIRBOYD/YouTube
146,Switzerland,UMS,V-200,5,90,40,140,"3,000",235,4.6,4,
147,Switzerland,SenseFly,eBee,0.8,3,--,90,--,0.7,1,--,Notebook
148,Switzerland,UMS,F-720,12,200,70,200,"4,900",250,7.2,4.8,
149,Turkey,Turkish,Anka,24,200,200,217,"9,144",1600,17,8,
150,Austria,Schiebel,Camcopter,10,200,50,240,"5,486",200,3.4,3.1,
151,Belarus,Indela,I.N.,5,--,25,37,"1,500",125,3.1,3,
152,Israel,Elbit,Skylark,3,15,1.2,--,"4,572",7.5,2,--,
153,Israel,Elbit,Hermes,36,--,350,222,"9,100",1180,15,9.1,
