,Страна,Категория,"Взлетный вес, кг","Длительность полета, час","Практическая дальность, км","Практический потолок, м",Метод запуска,Метод посадки,Тип двигателя,"Размах крыльев, м","Максимальная скорость полета, км/ч",Статус,Производитель,"Полезная нагрузка, кг",Навигация,Диапазон рабочих температур,"Диаметр несущего винта, м","Диагональ рамы, м"
0,США,Самолетный тип,6500,30,14.5,16500,Шасси,Шасси,Газотурбинный,24.75,660,Снято с производства,Ryan Aeronautical Company,3950,,,,
1,Испания,Коптерный тип,6,0.67,10,900,Вертикальный,Вертикальный,Электрический,,20,В производстве,,,,,,
2,Израиль,Самолетный тип,4650,Нет данных,7400,14000,Шасси,Шасси,Газотурбинный,26,375,В производстве,IAI,1000,,,,
3,США,Самолетный тип,4990,,4830,29000,Шасси,Шасси,Газотурбинный,5.87,3900,Снято с производства,Lockheed,,,,,
4,СССР,Самолетный тип,5370,Нет данных,1000,6000,Пусковая установка,Парашютная система,Газотурбинный,3.88,1110,Снято с производства,ОКБ Туполева,,,,,
5,Италия,Самолетный тип,5460,,600,,Шасси,Шасси,ДВС,8.2,360,Снято с производства,Aeronautica Lombarda,,,,,
6,Германия,Коптерный тип,1.2,0.47,,,Вертикальный,Вертикальный,Электрический,,,В производстве,Holger Buss,1,GPS,,,
7,США,Самолетный тип,3630,,2400,13200,Шасси,Шасси,Газотурбинный,10.3,920,Снято с производства,Boeing,2041,,,,
8,Франция,Самолетный тип,6000,Нет данных,Нет данных,14000,Пусковая установка,Парашютная система,Газотурбинный,12.5,850,В разработке,Dassault Aviation,1500,Нет данных,Нет данных,,
9,Германия,Вертолетный тип,75,2,120,3100,Вертикальный,Вертикальный,Газотурбинный,,110,В производстве,EMT,30,,,3,
10,США,Самолетный тип,5897,24,"14,5",16500,Шасси,Шасси,Газотурбинный,27,625,Снято с производства,Boeing,,,,,
11,СССР,Самолетный тип,7300,0.47,,16500,Шасси,Шасси,Газотурбинный,9,1200,Снято с производства,МиГ,,,,,
12,СССР,Самолетный тип,8400,1.77,,14400,Шасси,Шасси,Газотурбинный,"7,15",1800,Снято с производства,Завод №918,,,,,
13,Великобритания,Самолетный тип,8664,,1540,13100,Шасси,Шасси,Газотурбинный,"11,33",962,Снято с производства,Gloster,,,,,
14,Россия,Самолетный тип,10000,6,,16000,Шасси,Шасси,Газотурбинный,,1100,В разработке,ОКБ Яковлева,1200,,,,
15,Россия,Самолетный тип,10000,,4000,12000,Шасси,Шасси,Газотурбинный,"11,5",800,В разработке,МиГ,6000,,,,
16,Испания,Коптерный тип,6,0.67,10,900,Вертикальный,Вертикальный,Электрический,,20,В производстве,,,,,,
17,Германия,Вертолетный тип,75,2,120,3100,Вертикальный,Вертикальный,Газотурбинный,,110,В производстве,EMT,30,,,3,
18,Израиль,Самолетный тип,4650,Нет данных,7400,14000,Шасси,Шасси,Газотурбинный,26,375,В производстве,IAI,1000,,,,
19,США,Самолетный тип,4990,,4830,29000,Шасси,Шасси,Газотурбинный,5.87,3900,Снято с производства,Lockheed,,,,,
