,Страна,Категория,"Взлетный вес, кг","Длительность полета, час","Практическая дальность, км","Практический потолок, м",Метод запуска,Метод посадки,Тип двигателя,"Размах крыльев, м","Максимальная скорость полета, км/ч",Статус,Производитель,"Полезная нагрузка, кг",Навигация,Диапазон рабочих температур,"Диаметр несущего винта, м","Диагональ рамы, м"
0,США,Самолетный тип,6500.0,30.0,14.5,16500.0,Шасси,Шасси,Газотурбинный,24.75,660.0,Снято с производства,Ryan Aeronautical Company,3950.0,н/д,,,
1,Испания,Коптерный тип,6.0,0.67,10.0,900.0,Вертикальный,Вертикальный,Электрический,,20.0,В производстве,н/д,,н/д,,,
2,Израиль,Самолетный тип,4650.0,,7400.0,14000.0,Шасси,Шасси,Газотурбинный,26.0,375.0,В производстве,IAI,1000.0,н/д,,,
3,США,Самолетный тип,4990.0,,4830.0,29000.0,Шасси,Шасси,Газотурбинный,5.87,3900.0,Снято с производства,Lockheed,,н/д,,,
4,СССР,Самолетный тип,5370.0,,1000.0,6000.0,Пусковая установка,Парашютная система,Газотурбинный,3.88,1110.0,Снято с производства,ОКБ Туполева,,н/д,,,
5,Италия,Самолетный тип,5460.0,,600.0,,Шасси,Шасси,ДВС,8.2,360.0,Снято с производства,Aeronautica Lombarda,,н/д,,,
6,Германия,Коптерный тип,1.2,0.47,,,Вертикальный,Вертикальный,Электрический,,,В производстве,Holger Buss,1.0,GPS,,,
7,США,Самолетный тип,3630.0,,2400.0,13200.0,Шасси,Шасси,Газотурбинный,10.3,920.0,Снято с производства,Boeing,2041.0,н/д,,,
8,Франция,Самолетный тип,6000.0,,,14000.0,Пусковая установка,Парашютная система,Газотурбинный,12.5,850.0,В разработке,Dassault Aviation,1500.0,н/д,Нет данных,,
9,Германия,Вертолетный тип,75.0,2.0,120.0,3100.0,Вертикальный,Вертикальный,Газотурбинный,,110.0,В производстве,EMT,30.0,н/д,,3.0,
10,США,Самолетный тип,5897.0,24.0,14.5,16500.0,Шасси,Шасси,Газотурбинный,27.0,625.0,Снято с производства,Boeing,,н/д,,,
11,СССР,Самолетный тип,7300.0,0.47,,16500.0,Шасси,Шасси,Газотурбинный,9.0,1200.0,Снято с производства,МиГ,,н/д,,,
